comment,,タイプ,,,演算タイプ
comment,,1:ターン,固定,×,1:先制時だけ
comment,,2:HP,最小,最大,0:% 1:値
comment,,3:MP,最小,最大,0:% 1:値
comment,,4:レベル,レベル数,,0:以上 1:以下
comment,,5:状態,状態id,,0:かかっている 1:いない
comment,,6:相手レベル,レベル数,0:相対 1:絶対,0:以上 1:以下
comment,,7:使用回数,最大数,0:個体 1:グループ,0:1ターン 1:戦闘中
comment,,8:イコール0（フレームカウント）,剰余右辺,,
comment,,9:ターン開始時,,,
id,name,type,param1,param2,opeType
null,,,,,
1,常にfalse,0,0,0,0
2,Lv4差以上,6,4,0,0
3,HP低時,2,0,23,0
4,ちからため状態,5,12,0,1
5,2回制限,7,2,1,0
6,1回制限,7,1,1,0
7,HP半分以下,2,0,2,0
8,HP75%以下,2,0,28,0
9,戦闘中1回制限,7,1,1,1
10,ちからため大状態,5,13,0,1
11,魔法反射状態,5,9,0,1
12,1/3フレーム,8,3,0,0
