comment,,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,1.imageId,1.lockType,*pages*
null,,,,,,,,,,,,,,,,,,,,,
1,出口,0x08,,,,,,,,in,,,,[,1,,,,,,]
2,2-1,0x08,,,,,,,,in,,,,[,2,,,,,,]
3,2-2,0x08,,,,,,,,in,,,,[,3,,,,,,]
4,2-3,0x08,,,,,,,,in,,,,[,4,,,,,,]
5,3-1,0x08,,,,,,,,in,,,,[,5,,,,,,]
6,4-1,0x08,,,,,,,,in,,,,[,6,,,,,,]
7,4-2,0x08,,,,,,,,in,,,,[,7,,,,,,]
8,6-1,0x08,,,,,,,,in,,,,[,8,,,,,,]
9,6-2,0x08,,,,,,,,in,,,,[,9,,,,,,]
10,橋1,0x08,,,,,,,,in,,1,,[,18,,58,10,,,]
11,橋2,0x08,,,,,,,,in,,1,,[,18,,58,11,,,]
12,橋3,0x08,,,,,,,,in,,0,,[,18,,59,12,,,]
13,橋4,0x08,,,,,,,,in,,1,,[,18,,58,20,,,]
14,橋5,0x08,,,,,,,,in,,0,,[,18,,58,13,,,]
15,橋6,0x08,,,,,,,,in,,2,,[,18,,59,14,,,]
16,橋7,0x08,,,,,,,,in,,2,,[,18,,59,15,,,]
17,橋8,0x08,,,,,,,,in,,1,,[,18,,58,16,,,]
18,宝８１,0x02,,,,,,,,in,,,1,[,,88,54,19,,,]
