comment,,,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,priority,partId,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,,,
1,欠番,0,,,,,,,,,,,,,[,,,,,]
2,2-1,0x08,,,,,,,,in,,,,,[,2,,,,]
3,2-2,0x08,,,,,,,,in,,,,,[,2,,,,]
4,2-3,0x08,,,,,,,,in,,,,,[,2,,,,]
5,2-4,0x08,,,,,,,,in,,,,,[,2,,,,]
6,2-5,0x08,,,,,,,,in,,,,,[,2,,,,]
7,4-1,0x08,,,,,,,,in,,,,,[,3,,,,]
8,4-2,0x08,,,,,,,,in,,,,,[,3,,,,]
9,4-3,0x08,,,,,,,,in,,,,,[,3,,,,]
10,4-4,0x08,,,,,,,,in,,,,,[,3,,,,]
11,宝５,0x02,,,,,,,,in,,,,1,[,,88,54,4,]
12,宝６,0x02,,,,,,,,in,,,,1,[,,88,54,5,]
13,宝７,0x02,,,,,,,,in,,,,1,[,,88,54,6,]
14,落下,0x08,,,,,,,,in,0,,,,[,7,,,,]
