comment,,,,,,,,,,,,,,,,,,
id,name,trigger,imageId,index,direction,lockType,moveRegionKey,moveType,moveRouteId,inout,partOrder,layerIndex,*pages*,0.scriptId,0.commonScriptId,0.partId,1.scriptId,*pages*
null,,,,,,,,,,,,,,,,,,
1,2Fへ,0x08,,,,,,,,in,,,[,1,,,,]
2,王様,0x01,6,0,0,1,,0,0,,,,[,2,,,,]
3,大臣,0x01,10,4,0,1,r1,1,0,,,,[,3,,,,]
4,兵士,0x01,15,0,2,2,,0,0,,,,[,4,,,,]
5,王様の部屋,0x01,10,5,0,1,r2,1,1,,,,[,5,,,,]
6,王子の部屋,0x01,10,5,0,1,r3,1,1,,,,[,6,,,,]
7,扉８,0x104,,,,,,,,in,1,,[,7,,1,,]
8,扉９,0x104,,,,,,,,in,1,,[,8,,1,,]
9,見張り,0x01,15,0,0,2,,0,0,,,,[,9,,,,]
